color,director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,month,fate, Action, Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,Western,War
Color,Sam Mendes,148,0,161,Rory Kinnear,11000,Christoph Waltz,11700,Stephanie Sigman,1,English,UK,PG-13,245000000,2015,393,6.8,2.35,85000,October,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,Christopher Nolan,164,22000,23000,Christian Bale,27000,Tom Hardy,106759,Joseph Gordon-Levitt,0,English,USA,PG-13,250000000,2012,23000,8.5,2.35,164000,July,Superhit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Doug Walker,,131,,Rob Walker,131,Doug Walker,143,,0,,,,,,12,7.1,,0,December,Hit,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,Andrew Stanton,132,475,530,Samantha Morton,640,Daryl Sabara,1873,Polly Walker,1,English,USA,PG-13,263700000,2012,632,6.6,2.35,24000,March,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Sam Raimi,156,0,4000,James Franco,24000,J.K. Simmons,46055,Kirsten Dunst,0,English,USA,PG-13,258000000,2007,11000,6.2,2.35,0,May,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Color,Nathan Greno,100,15,284,Donna Murphy,799,Brad Garrett,2036,M.C. Gainey,1,English,USA,PG,260000000,2010,553,7.8,1.85,29000,November,Hit,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
Color,Joss Whedon,141,0,19000,Robert Downey Jr.,26000,Chris Hemsworth,92000,Scarlett Johansson,4,English,USA,PG-13,250000000,2015,21000,7.5,2.35,118000,April,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,David Yates,153,282,10000,Daniel Radcliffe,25000,Alan Rickman,58753,Rupert Grint,3,English,UK,PG,250000000,2009,11000,7.5,2.35,10000,July,Hit,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Color,Zack Snyder,183,0,2000,Lauren Cohan,15000,Henry Cavill,24450,Alan D. Purwin,0,English,USA,PG-13,250000000,2016,4000,6.9,2.35,197000,March,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Bryan Singer,169,0,903,Marlon Brando,18000,Kevin Spacey,29991,Frank Langella,0,English,USA,PG-13,209000000,2006,10000,6.1,2.35,0,June,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Marc Forster,106,395,393,Mathieu Amalric,451,Giancarlo Giannini,2023,Rory Kinnear,1,English,UK,PG-13,200000000,2008,412,6.7,2.35,0,October,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,Gore Verbinski,151,563,1000,Orlando Bloom,40000,Johnny Depp,48486,Jack Davenport,2,English,USA,PG-13,225000000,2006,5000,7.3,2.35,5000,June,Hit,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Gore Verbinski,150,563,1000,Ruth Wilson,40000,Johnny Depp,45757,Tom Wilkinson,1,English,USA,PG-13,215000000,2013,2000,6.5,2.35,48000,July,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Color,Zack Snyder,143,0,748,Christopher Meloni,15000,Henry Cavill,20495,Harry Lennix,0,English,USA,PG-13,225000000,2013,3000,7.2,2.35,118000,June,Hit,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Color,Andrew Adamson,150,80,201,Pierfrancesco Favino,22000,Peter Dinklage,22697,Damián Alcázar,4,English,USA,PG,225000000,2008,216,6.6,2.35,0,May,Average,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Joss Whedon,173,0,19000,Robert Downey Jr.,26000,Chris Hemsworth,87697,Scarlett Johansson,3,English,USA,PG-13,220000000,2012,21000,8.1,1.85,123000,April,Superhit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Rob Marshall,136,252,1000,Sam Claflin,40000,Johnny Depp,54083,Stephen Graham,4,English,USA,PG-13,250000000,2011,11000,6.7,2.35,58000,May,Average,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Barry Sonnenfeld,106,188,718,Michael Stuhlbarg,10000,Will Smith,12572,Nicole Scherzinger,1,English,USA,PG-13,225000000,2012,816,6.8,1.85,40000,May,Average,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Color,Peter Jackson,164,0,773,Adam Brown,5000,Aidan Turner,9152,James Nesbitt,0,English,New Zealand,PG-13,250000000,2014,972,7.5,2.35,65000,December,Hit,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Marc Webb,153,464,963,Andrew Garfield,15000,Emma Stone,28489,Chris Zylka,0,English,USA,PG-13,230000000,2012,10000,7,2.35,56000,April,Hit,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Ridley Scott,156,0,738,William Hurt,891,Mark Addy,3244,Scott Grimes,0,English,USA,PG-13,200000000,2010,882,6.7,2.35,17000,November,Average,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Color,Peter Jackson,186,0,773,Adam Brown,5000,Aidan Turner,9152,James Nesbitt,6,English,USA,PG-13,225000000,2013,972,7.9,2.35,83000,December,Hit,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Chris Weitz,113,129,1000,Eva Green,16000,Christopher Lee,24106,Kristin Scott Thomas,2,English,USA,PG-13,180000000,2007,6000,6.1,2.35,0,December,Average,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Peter Jackson,201,0,84,Thomas Kretschmann,6000,Naomi Watts,7123,Evan Parke,0,English,New Zealand,PG-13,207000000,2005,919,7.2,2.35,0,December,Hit,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Color,James Cameron,194,0,794,Kate Winslet,29000,Leonardo DiCaprio,45223,Gloria Stuart,0,English,USA,PG-13,200000000,1997,14000,7.7,2.35,26000,November,Hit,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Color,Anthony Russo,147,94,11000,Scarlett Johansson,21000,Robert Downey Jr.,64798,Chris Evans,0,English,USA,PG-13,250000000,2016,19000,8.2,2.35,72000,April,Superhit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Peter Berg,131,532,627,Alexander Skarsgård,14000,Liam Neeson,26679,Tadanobu Asano,0,English,USA,PG-13,209000000,2012,10000,5.9,2.35,44000,April,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Color,Colin Trevorrow,124,365,1000,Judy Greer,3000,Bryce Dallas Howard,8458,Omar Sy,0,English,USA,PG-13,150000000,2015,2000,7,2,150000,June,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Color,Sam Mendes,143,0,393,Helen McCrory,883,Albert Finney,2039,Rory Kinnear,0,English,UK,PG-13,200000000,2012,563,7.8,2.35,80000,October,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,Sam Raimi,135,0,4000,James Franco,24000,J.K. Simmons,43388,Kirsten Dunst,1,English,USA,PG-13,200000000,2004,11000,7.3,2.35,0,April,Hit,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Color,Shane Black,195,1000,3000,Jon Favreau,21000,Robert Downey Jr.,30426,Don Cheadle,3,English,USA,PG-13,200000000,2013,4000,7.2,2.35,95000,April,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Tim Burton,108,13000,11000,Alan Rickman,40000,Johnny Depp,79957,Anne Hathaway,0,English,USA,PG,200000000,2010,25000,6.5,1.85,24000,March,Average,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Brett Ratner,104,420,560,Kelsey Grammer,20000,Hugh Jackman,21714,Daniel Cudmore,0,English,Canada,PG-13,210000000,2006,808,6.8,2.35,0,May,Average,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Color,Dan Scanlon,104,37,760,Tyler Labine,12000,Steve Buscemi,14863,Sean Hayes,0,English,USA,G,200000000,2013,779,7.3,1.85,44000,June,Hit,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Michael Bay,150,0,464,Kevin Dunn,894,Glenn Morshower,3218,Ramon Rodriguez,0,English,USA,PG-13,200000000,2009,581,6,2.35,0,June,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Michael Bay,165,0,808,Sophia Myles,974,Bingbing Li,3988,Kelsey Grammer,2,English,USA,PG-13,210000000,2014,956,5.7,2.35,56000,June,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Sam Raimi,130,0,11000,Mila Kunis,44000,Tim Holmes,73441,James Franco,4,English,USA,PG,215000000,2013,15000,6.4,2.35,60000,March,Average,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Marc Webb,142,464,825,Andrew Garfield,15000,Emma Stone,28631,B.J. Novak,0,English,USA,PG-13,200000000,2014,10000,6.7,2.35,41000,April,Average,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Color,Joseph Kosinski,125,364,1000,Olivia Wilde,12000,Jeff Bridges,25550,James Frain,0,English,USA,PG,170000000,2010,10000,6.8,2.35,30000,December,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,John Lasseter,106,487,776,Thomas Kretschmann,1000,Joe Mantegna,4482,Eddie Izzard,0,English,USA,G,200000000,2011,919,6.3,2.35,10000,June,Average,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Color,Martin Campbell,123,258,326,Temuera Morrison,16000,Ryan Reynolds,17657,Taika Waititi,2,English,USA,PG-13,200000000,2011,368,5.6,2.35,24000,June,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
